Date,IT_3M_Ret,IT_6M_Ret,IT_12M_Ret,IT_RSI,IT_RS_52W,Bank_3M_Ret,Bank_6M_Ret,Bank_12M_Ret,Bank_RSI,Bank_RS_52W,FMCG_3M_Ret,FMCG_6M_Ret,FMCG_12M_Ret,FMCG_RSI,FMCG_RS_52W,Auto_3M_Ret,Auto_6M_Ret,Auto_12M_Ret,Auto_RSI,Auto_RS_52W,Pharma_3M_Ret,Pharma_6M_Ret,Pharma_12M_Ret,Pharma_RSI,Pharma_RS_52W,Metal_3M_Ret,Metal_6M_Ret,Metal_12M_Ret,Metal_RSI,Metal_RS_52W,Realty_3M_Ret,Realty_6M_Ret,Realty_12M_Ret,Realty_RSI,Realty_RS_52W
2022-01-21,1.864556236984094,21.070057230988716,43.5863347175006,34.329540413547065,15.188399997837765,-6.818203394565825,8.354163648664702,20.38241646677832,53.25367180122522,-3.426339505332776,-5.303956039163782,1.514733372672028,6.335119218950824,39.47555913291487,-14.695418122422533,1.1177222438828904,12.954045806027569,22.762912950575085,58.13231577682594,-1.5166481568592904,-5.065364121328642,-9.141090812122577,0.7091362711602489,33.29271914162622,-19.208716518444124,0.5175604387589017,6.928455039640702,67.01365536378634,52.44442090259442,33.98235825849849,-3.7994503847599392,24.056066943671773,54.73302671876592,46.7966836586869,24.13054354806208
2022-01-24,-0.5250529438428186,16.482408527649707,35.12902456872753,27.498202294336394,11.887191051984104,-10.304926510633205,5.4607790514167975,16.472037889363513,45.582614465683925,-3.5608434447543913,-6.624011944350627,-1.6885112042785755,3.516972264024587,31.163253943381775,-14.287672172627397,0.29390284663588506,10.389317360160867,19.595801093856213,48.245227024117916,-0.9743592191950423,-6.778974433032259,-10.955380708765027,-1.2740813131724482,28.58830041615505,-18.254677252720285,-4.5636564134752255,1.244917498906939,60.54647005738616,39.53391790614359,32.932903388910795,-6.8989826080852135,15.247481928768835,46.103999775423055,34.94205129757306,20.97449965693732
2022-01-25,-1.2937199121663578,15.921793850217414,36.54055578329116,26.963248290276027,11.79201957332312,-8.563759640393819,7.88862748586987,18.582515741689853,54.19069651003768,-2.911051996236791,-6.294612881669959,-0.2847566239799426,5.9879364601068685,38.255973361937556,-13.22281208456646,0.6155995546726523,13.65956409341793,22.84971283207451,55.360516917371605,0.5826981054446234,-6.288546035333842,-10.649683612153948,-0.19819944027120728,32.51621505625201,-18.287685460033774,-5.925583010242463,1.8144188620093926,60.39387753747081,42.813428801426205,31.321828845993018,-8.514777650027938,18.479353383863018,47.70872476085704,39.70646450441789,20.93591208039467
2022-01-27,-5.714436288796632,11.984591165258163,32.56816237223883,21.989549677632127,9.535124808465966,-7.075949720328689,9.151976477886326,18.857495396754366,56.85633091741092,-1.7933841750869095,-7.64980488860707,-1.0835844963105745,5.684147964907482,34.63437625155039,-12.677930126934545,1.4607022552939775,14.53535945136386,22.608995354372773,56.321091104371284,1.306311926325887,-8.842965105450807,-8.351374543036904,-1.629689025323966,28.15971025874363,-18.721025491749966,-5.155088124736862,-0.36590498101555236,53.386189841832746,41.34829631224045,26.736126891795454,-10.43705879047594,17.195034341757555,43.10932636674381,36.771861809418745,18.24481568071723
2022-01-28,-3.0407987037644912,13.012550105059661,29.39160288549236,26.45745334053396,8.549829657052822,-4.6054086676191925,9.140563819020553,17.470281554319467,53.30539430605797,-1.451262924905583,-5.287429014427292,-0.47318239196412204,5.576814549950049,37.99955220458237,-11.428987820226698,2.0646661628723972,14.929402240730605,17.986915340690366,54.11946933363126,-1.0178460086991414,-5.7874826008653795,-7.029844396158181,-2.1738229840956635,33.47217561527489,-17.931190167922896,-1.4158047590019707,-1.2064416273194656,54.88070611789768,42.43736561701955,29.9332714901152,-6.213495690536885,19.031180819609126,42.183204243201345,38.80604124707605,19.281021770416174
2022-01-31,1.2084158280960544,14.66231498498698,28.847391222909778,36.55555878636373,7.63197444382635,-2.9150810537557525,9.465865083137203,18.67704857285006,56.18441470126225,-0.8637665238925951,-4.5911959069819925,1.3259198261498684,5.1497567129212385,42.04603434915158,-12.163716937658975,3.5941721155449358,17.54455103716208,17.08652264365549,59.386572474435894,-2.1924037942207653,-5.039495642342972,-5.319185505594815,-1.7330984169061758,40.386929906284855,-17.913272907732992,-1.6168118166978385,-5.804755060663425,56.65732700701711,42.857031884795106,30.862854550829088,-3.6996213666367295,20.81761006289309,45.729029825273315,46.43816147369283,21.733960346482583
2022-02-01,0.23136423207708035,16.048522003313394,31.093017035672155,41.42757801772389,8.618248831916308,-3.1643214404932674,11.337923085933,19.068299228090257,60.986991576152526,-1.3449347189062322,-3.827490979394199,3.1396469889436673,7.814607025364095,50.90920956478313,-10.669278361259703,1.7082532998423883,15.600334471562928,14.78529877177106,56.48171977884343,-4.8936516515945545,-4.070979201046077,-6.570399350587586,1.7576827051916988,49.01470297079442,-15.68779519641309,-0.25027421244822046,-0.8829654085147243,62.95051316205904,54.68222687433631,35.01405174852859,-5.811487009617277,22.576195002619247,44.2935191801157,50.28032258874498,19.555638626227424
2022-02-02,1.7380456752513762,16.185731907388945,32.52981549090632,44.901475756525755,8.564501202658503,-1.5222135412285676,13.311722475895715,20.73959347829333,67.04123726735261,-1.0936996114501163,-2.679443445194374,3.816443975933592,8.561824920622696,55.02080436299827,-11.069367081655301,0.9647424595855547,14.228480205848705,13.947628342702556,56.90511051779281,-6.657476369155302,-2.4979975974659063,-5.743023592279473,3.97103149687692,53.09619535259627,-14.830009140404755,2.4197530693281344,-0.027668680556980352,64.04456667317109,57.03006427200201,34.3804523526337,-7.616291124337382,18.611609814482357,46.77132436071958,53.2268685171277,20.230723637945893
2022-02-03,-0.34198605316091424,12.484662605522434,30.005877000762403,40.37593708301737,8.057642395235543,-0.9950025815897323,10.800419216593982,19.95787606881907,62.95398525806776,-0.29400536515424847,-2.3531403540313467,1.7410187188098947,7.399880345848198,53.63052687382552,-10.731898192304856,2.4751797221184146,12.963866260805812,14.114653931855713,58.27294578199674,-5.15074586549491,-1.9491240765204032,-7.03345560935179,2.909868546658334,52.388069419280534,-14.463884011256734,1.1614516864389968,-0.28728837864975265,65.21191314434849,56.09069477473138,37.32002153933418,-10.946503173939758,16.246863268792854,44.309425816370094,49.27835525368709,19.946395415921426
2022-02-04,-0.7192693703701125,13.245089106442553,33.066671684785476,40.5812458155459,9.648976063609883,-1.981985734717151,7.664310185519496,20.28899762994567,60.23148411862894,-0.8800231128828773,-3.1043657249510748,2.812171991519463,8.31170498256515,54.0809204575235,-10.749495747702175,-0.07951905363801082,12.821562143592269,13.580851725854037,53.84154362864563,-6.407638107352199,-2.6376190868599547,-6.948235665370817,4.34946158777878,51.332444741353896,-14.014445006989963,2.3087215608820433,1.2083560276443306,69.01266007716178,58.83027175393009,39.26902119523488,-13.611892573222406,14.956903044948099,42.92830557193399,43.80522014424988,17.77511346788423
